文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
Teld.Core.HSF.EventNotify.dll,20992,.dll,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.EventNotify.pdb,44544,.pdb,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Monitor.dll,33280,.dll,2020/9/3 23:00:50,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Monitor.pdb,54784,.pdb,2020/9/3 23:00:50,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Service.dll,77312,.dll,2020/9/3 23:00:52,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Service.pdb,196096,.pdb,2020/9/3 23:00:52,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Service.xml,8728,.xml,2020/9/3 23:00:52,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.ServiceDAC.dll,4608,.dll,2020/9/3 23:00:50,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.ServiceDAC.pdb,11776,.pdb,2020/9/3 23:00:50,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.SPI.dll,49152,.dll,2020/9/3 23:00:39,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.SPI.pdb,157184,.pdb,2020/9/3 23:00:39,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Statistic.dll,11776,.dll,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Teld.Core.HSF.Statistic.pdb,24064,.pdb,2020/9/3 23:00:47,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\SDK,HSF,HSF20200903,SDK,,,,,,,,,
Scs.dll,133632,.dll,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Scs.pdb,394752,.pdb,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Cluster.dll,34304,.dll,2020/9/1 9:14:27,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.Cluster.pdb,58880,.pdb,2020/9/1 9:14:27,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
Teld.Core.HSF.DAC.dll,56320,.dll,2020/9/1 9:14:28,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901,HSF20200901,,,,,,,,,,,
